lead_time,in_sample_accuracy,out_sample_accuracy,in_sample_f1,out_sample_f1
1,0.9218043782689804,0.913134138840942,0.8269723346431587,0.8066592108437339
2,0.8923139446278892,0.8879154018610003,0.7572548426518145,0.7485289875705803
3,0.8648354771256429,0.8576136341090809,0.6892440947984201,0.6743918892623066
4,0.846624555960753,0.8373489673233736,0.6231445550323675,0.6042989538418108
5,0.8350157728706625,0.8271293375394322,0.5730737913709482,0.5512167497060098
6,0.8208628893110481,0.8112486523180131,0.5103552798814324,0.4684213333646028
7,0.8057453077326869,0.8067324202371919,0.3560438201199186,0.37093002338550096
8,0.803406327857183,0.7964600886475262,0.3402155056695459,0.3121739663844927
9,0.7904766848451492,0.7906400990296689,0.28181067955059913,0.2843954173692421
10,0.7890822784810128,0.7715189873417723,0.2693201779127029,0.23716560352074373
11,0.7925887228519599,0.7777195097448262,0.29384057471686764,0.26426361709763324
12,0.7924555149425373,0.7889953787422141,0.278831396897551,0.2824003621673524
13,0.7929579447298009,0.7907775768535261,0.2667621559299043,0.2619042752512349
14,0.7860069483780825,0.781093027928471,0.24249088275070746,0.20742282806798937
15,0.7876190476190477,0.784126984126984,0.23965490660624197,0.23608943549055694
16,0.7798571554647806,0.7750904863006773,0.18402703338445922,0.15668513495067235
17,0.7814652151567537,0.7794055201698514,0.19120482268522215,0.1724381251619933
18,0.78116721241809,0.7799069861490244,0.15723537090307677,0.15247495361781077
