lead_time,in_sample_accuracy,out_sample_accuracy,in_sample_f1,out_sample_f1
1,0.9911881646205384,0.9610043052992878,0.9808541799088719,0.9162648363373938
2,0.9845671769392318,0.9440152371882625,0.9645158874428923,0.8690940481068081
3,0.9840819542947201,0.9314048766938476,0.9659603222732391,0.8552150459309171
4,0.972246832375029,0.9042318909588716,0.9343871515280473,0.7875228676915893
5,0.9802839116719243,0.9205047318611987,0.9526926380982139,0.8117784766891969
6,0.9791633780584057,0.9028351235874295,0.9494528810106699,0.7660747033211623
7,0.9707742163137413,0.9116459689334345,0.928499182684012,0.774799696442
8,0.9694872899612236,0.9122369524418001,0.9211806410161485,0.7490681174830746
9,0.9557065842797818,0.8988379986423352,0.8793390320380932,0.7081972328889614
10,0.9742088607594936,0.9139240506329113,0.9267877395776625,0.7614150068095459
11,0.9729217404812731,0.9050612818967249,0.9445770820432452,0.7780063392897031
12,0.9716324551134132,0.9012437211171388,0.927216294723735,0.7315912915602107
13,0.9738311731564139,0.9031022704440426,0.9368233212259452,0.7557161059785935
14,0.9731764913208213,0.9004520795660037,0.9305581474509799,0.7354558287805215
15,0.9747619047619047,0.9041269841269841,0.9331032218283635,0.7542796223983634
16,0.960127211064463,0.895234051157618,0.9002844791764598,0.7078312461911495
17,0.9744043206875521,0.9060054595086442,0.9345498663162054,0.7442332711261225
18,0.969929033343325,0.9046850672328379,0.9140659503611894,0.7132778723515176
