lead_time,resolution_k,in_sample_accuracy,out_sample_accuracy,in_sample_f1,out_sample_f1
1,1,0.9262087496103202,0.9219550423585897,0.8314855241549235,0.8219653683913976
1,2,0.9240072443329422,0.9188064202527627,0.831510662268806,0.8207515452822086
1,3,0.9240073680408137,0.9206951967144812,0.8293181685149549,0.8205844193050498
1,5,0.919286799380471,0.9125131440588854,0.8198454399188349,0.8037706365062824
1,6,0.9224333090865905,0.9175485586175427,0.8265522688068394,0.8160865787558755
2,1,0.9063243648438515,0.8916830347399956,0.7832929229153527,0.7518614576235407
2,2,0.8989261354132465,0.8879114338432237,0.7819867456509654,0.7570948387399591
2,3,0.900343582150579,0.8866535722080033,0.7766264177385384,0.7458176437798479
2,5,0.8951467317568781,0.8834989980755115,0.7649019540908569,0.7353568006922767
2,6,0.8931012223000057,0.8847509076840664,0.7615759001073038,0.7414339652989496
3,1,0.8783848650124408,0.8695891117592206,0.719050651687448,0.7008917047415981
3,2,0.8768104341567232,0.8676824792175069,0.7075753381830465,0.6911585536195732
3,3,0.8739731824302105,0.8689462928793921,0.710354005290035,0.6932357135354371
3,5,0.8670413184167582,0.8576116501001925,0.6951285494231328,0.6739588981887052
3,6,0.8679868207963366,0.8626569847032914,0.7009049326092114,0.6879535424211134
4,1,0.8661689946876873,0.8404956054203122,0.6774148207243131,0.6100788325653429
4,2,0.8574995090398809,0.852471083070452,0.6614662042006338,0.6445309164621482
4,3,0.8546637482505662,0.8430232327440826,0.6502424196989669,0.620126090847185
4,5,0.8445740827746331,0.8423903339086959,0.6078335151043157,0.6071248757052166
4,6,0.850090610108061,0.8386127809852588,0.638443452388681,0.6162466939221464
5,1,0.8403785488958991,0.8258675078864354,0.5630214897172798,0.529496035336065
5,2,0.8466876971608833,0.828391167192429,0.5967843919903126,0.5336720867208672
5,3,0.8462145110410095,0.8290220820189275,0.5886450571540994,0.5417638306804687
5,5,0.8410094637223976,0.8246056782334386,0.5670209288628725,0.5121604099028222
5,6,0.8280757097791798,0.8157728706624605,0.5438758564131825,0.5031351890257403
6,1,0.8308085121215818,0.8062053268378389,0.5207747839463377,0.4426835727930275
6,2,0.8319097498001937,0.8188256199337139,0.5512919261320939,0.512751930539309
6,3,0.8331718284329958,0.8232500099828295,0.5411130506628863,0.5020574271925241
6,5,0.820704289175105,0.807471149622649,0.46049971444079985,0.40137815922317976
6,6,0.8112340933026922,0.8030487561394402,0.4101244845295028,0.38987439703483007
7,1,0.8158509047880889,0.8035738529728865,0.43872822745341084,0.39699889859628223
7,2,0.8215374851467125,0.8061035019766003,0.4428392750773713,0.3743182095237306
7,3,0.8243789673707717,0.8130435650680828,0.5081543959636405,0.4754868768983219
7,5,0.8198006012386365,0.8130495547658029,0.4598344118024693,0.41818049324118745
7,6,0.8149030374895107,0.8117877251128058,0.41416840614584105,0.39584924879042527
8,1,0.8114643238484162,0.8015213832208602,0.3882220039317673,0.3542691207007597
8,2,0.8073558998182941,0.7907738689454138,0.3538724342905329,0.3033663743798808
8,3,0.8087808228587129,0.8015153935231402,0.40035618178976573,0.3648624101048947
8,5,0.8109912643850414,0.8002595535678634,0.4008948694080109,0.35455870442623005
8,6,0.8018255499566029,0.7958331669528411,0.340366598959262,0.31774058829426594
9,1,0.8002809326061939,0.7900051910713574,0.35200606185659716,0.30799641877902745
9,2,0.7982255966378147,0.7887393682865472,0.3427011925230881,0.30524516602757606
9,3,0.7972783559313553,0.7874655592381103,0.37946925034734313,0.3412143614760438
9,5,0.7999658528043228,0.7887313820229206,0.35474356725945716,0.3244962508400544
9,6,0.7961683844498924,0.7900071876372639,0.2965875806992659,0.29286226105448077
10,1,0.8066455696202531,0.780379746835443,0.39749037460650427,0.3052503052503052
10,2,0.8044303797468354,0.7886075949367088,0.3726318194177324,0.3216824019313845
10,3,0.7969936708860759,0.7835443037974684,0.3429285603110358,0.3046650278960025
10,5,0.8001582278481012,0.7873417721518987,0.3400134042431627,0.2996356248471718
10,6,0.7895569620253164,0.7746835443037974,0.2828576103960664,0.23851496874053266
11,1,0.7998708369664352,0.7827868193690979,0.32584238821113026,0.270136165577342
11,2,0.806835618429097,0.7960920233072132,0.3471436212957094,0.32351389335613395
11,3,0.7982861781773355,0.7846935905163752,0.30652460248788077,0.26830597179601606
11,5,0.7976541437405414,0.7859694595137634,0.2973035086603275,0.2643640694688897
11,6,0.7898962185674053,0.7802652200120553,0.2992171057269428,0.2678052187604846
12,1,0.8008501128673837,0.7826622463331324,0.3515383896791877,0.2953419382543152
12,2,0.808770278799377,0.7902652200120555,0.3567363493249222,0.30318224516393
12,3,0.7972066106784214,0.7947076552139842,0.2970771163664375,0.27297663936852273
12,5,0.7965744529476645,0.7889873417721519,0.2911620089816389,0.2628530052330934
12,6,0.789919731778411,0.7870986538075145,0.2587175005132441,0.25065151311752903
13,1,0.795334746779843,0.7901446654611212,0.26575293784485965,0.2507071076706545
13,2,0.796760551520628,0.7869740807715491,0.28466154987871456,0.2506717171717172
13,3,0.8005659232038568,0.789511754068716,0.3020930475648998,0.24540251658995813
13,5,0.792800345862904,0.788878842676311,0.28036607928590423,0.26011998824940197
13,6,0.7907387415466557,0.781894715692184,0.24457778088542312,0.1999757168690261
14,1,0.792349860906562,0.7855354631303999,0.24741548364552718,0.210540098518484
14,2,0.7963150938408671,0.7861703837653204,0.28270477824079615,0.22862364904266047
14,3,0.7958391551175057,0.7823608599557966,0.266279687049446,0.21490689576078567
14,5,0.7917154437772995,0.7798211774161141,0.23097665362990005,0.17928889650287688
14,6,0.7882261495663558,0.7798211774161141,0.21669346320083274,0.1910490807286
15,1,0.7928571428571429,0.7834920634920635,0.2689725312958032,0.2322113561444695
15,2,0.7985714285714286,0.7841269841269841,0.27923864153090516,0.23719101987467806
15,3,0.7963492063492064,0.7815873015873015,0.2694707919598402,0.22349386512834415
15,5,0.7876190476190477,0.779047619047619,0.23896065971419275,0.2046927623804716
15,6,0.7863492063492064,0.7777777777777777,0.22029086360653433,0.20776031654390228
16,1,0.7928808452160319,0.790985744616318,0.2352878332957334,0.24334198694433473
16,2,0.7976460279637404,0.7897098372257607,0.3143367938580364,0.2867452255180821
16,3,0.7922439073590782,0.7852613487008391,0.25328495457349676,0.22564245311015182
16,5,0.7857331971708461,0.7827236882013953,0.19059169249842164,0.178032629756056
16,6,0.7874796071460091,0.7827337984025882,0.22052950300486346,0.18597179990367543
17,1,0.7811453559806595,0.7800384187645334,0.16066408392541623,0.13762179524390006
17,2,0.7860724248053128,0.7800465069254877,0.21028164588154655,0.17239716445458073
17,3,0.7944968563386542,0.7813284804367606,0.2657850763822581,0.20074160811865732
17,5,0.779557298736853,0.7825902335456476,0.15379501034954315,0.15260523789935557
17,6,0.7828949212727188,0.7806794055201699,0.19506481251978203,0.19092998955067922
18,1,0.7800535759682187,0.7773551713679103,0.21135082858729648,0.19535144066810306
18,2,0.785935802431661,0.7849924173491053,0.18884098440505143,0.1869098485658717
18,3,0.783075508472111,0.7748114447477505,0.18513843476700192,0.14986773210180374
18,5,0.7818025100771135,0.7805338186229906,0.17062707493438248,0.16555246360094608
18,6,0.7832338585953637,0.7760772419371146,0.1720626129419117,0.1564545317354306
