lead,arch,params,test_auroc,sd
3,logistic (linear),2701,0.9239766081871345,0.0
3,gap,4929,0.8224496426250812,0.005069683734349317
3,flatten,9825,0.8624106562703053,0.010162763040686862
3,coord_gap,5217,0.8265107212475633,0.010199049481703845
3,coord_flatten,10113,0.8570500324886291,0.0071769727207194435
6,logistic (linear),2701,0.7933723196881092,0.0
6,gap,4929,0.6124106562703054,0.009024005466102127
6,flatten,9825,0.7610461338531515,0.010224889526872156
6,coord_gap,5217,0.6307667316439246,0.01972463838422424
6,coord_flatten,10113,0.7573099415204679,0.022325149503066292
