lead,method,agree
3,ours_pixel,-0.08552026399103456
3,ours_2x2,-0.11307748231577631
3,ours_4x4,-0.014038008472280294
3,L0_gate,0.009426677545885416
3,STG_gate,0.021776476781142362
3,attention,-0.797271528326575
3,posthoc_saliency,0.08631687640228264
3,posthoc_integrated_grad,0.5236523572217778
3,posthoc_gradient_shap,0.42446699407990474
3,posthoc_grad_cam,-0.48369409899954424
6,ours_pixel,-0.07022918950940527
6,ours_2x2,-0.16713388286394248
6,ours_4x4,-0.2515163499684734
6,L0_gate,-0.07243317445752169
6,STG_gate,-0.04778023057146959
6,attention,-0.18148811348914304
6,posthoc_saliency,0.29591085663770134
6,posthoc_integrated_grad,0.44986479418038766
6,posthoc_gradient_shap,0.4020749855142493
6,posthoc_grad_cam,-0.023659250534195545
